"Feature_ID","Split","Range_time","Mzmine_ID","mass","RT","IL","Metabolite","NIST_Number","InChIKey","classyfireR_Superclass","classyfireR_Class","classyfireR_Subclass","Kegg_ID","Column","Ion_Mode","Flag","Detection_rate_Group_Blank","Detection_rate_Group_Callus","Detection_rate_Group_developing_meristem","Detection_rate_Group_leaf","Detection_rate_Group_undeveloped_explant","Detection_rate_Group_undeveloped_meristem","Detection_rate_QC","RSD","RSD_r","D_ratio","D_ratio_r","DC_note","Blank_ratio","MPA","Cluster_ID","Cluster_size","Cluster_features"
"Rtx5_EI_87_0788640836572a9_561874","Rtx5_EI","3-40min",1291,87.0788640836572,9.561874,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_qc_detection",0,0,0.111111111111111,0,0,0,0.538461538461538,0.0443855884626083,0.0485404147214056,NA,Inf,"Drift_corrected",NA,NA,NA,NA,NA
"Rtx5_EI_112_09997005428a9_5633335","Rtx5_EI","3-40min",1292,112.09997005428,9.5633335,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_qc_detection",0,0,0.111111111111111,0,0,0,0.615384615384615,0.0446192004989514,0.0308680658463109,NA,Inf,"Drift_corrected",NA,NA,NA,NA,NA
"Rtx5_EI_101_085248356667a9_566346","Rtx5_EI","3-40min",1293,101.085248356667,9.566346,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI",NA,0,0.555555555555556,0.444444444444444,0.333333333333333,0.111111111111111,0,1,0.0482567970596267,0.0372025696935378,0.0456210750065772,0.135365755655641,"Drift_corrected",NA,1124.62645607097,"Cluster_Rtx5_EI_86_0622966870007a9_572647",9,"Rtx5_EI_101_085248356667a9_566346;Rtx5_EI_111_091434562815a9_57237;Rtx5_EI_114_08349127757a9_570541;Rtx5_EI_128_069695712234a9_566905;Rtx5_EI_129_082120127593a9_569445;Rtx5_EI_59_0275119889286a9_573077;Rtx5_EI_70_0646665720888a9_571916;Rtx5_EI_72_0520100504172a9_571668;Rtx5_EI_86_0622966870007a9_572647"
"Rtx5_EI_128_069695712234a9_566905","Rtx5_EI","3-40min",1294,128.069695712234,9.566905,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI",NA,0,0.666666666666667,0.222222222222222,0,0,0,1,0.0662885303723128,0.0775710381868805,0.0686156209051025,0.219895198453013,"Drift_corrected",NA,556.82582061884,"Cluster_Rtx5_EI_86_0622966870007a9_572647",9,"Rtx5_EI_101_085248356667a9_566346;Rtx5_EI_111_091434562815a9_57237;Rtx5_EI_114_08349127757a9_570541;Rtx5_EI_128_069695712234a9_566905;Rtx5_EI_129_082120127593a9_569445;Rtx5_EI_59_0275119889286a9_573077;Rtx5_EI_70_0646665720888a9_571916;Rtx5_EI_72_0520100504172a9_571668;Rtx5_EI_86_0622966870007a9_572647"
"Rtx5_EI_129_082120127593a9_569445","Rtx5_EI","3-40min",1295,129.082120127593,9.569445,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI",NA,0,1,0.666666666666667,0.555555555555556,0.333333333333333,0,1,0.0556251667957612,0.0618192085904496,0.0544914230419466,0.413067924550447,"Drift_corrected",NA,1387.32036031489,"Cluster_Rtx5_EI_86_0622966870007a9_572647",9,"Rtx5_EI_101_085248356667a9_566346;Rtx5_EI_111_091434562815a9_57237;Rtx5_EI_114_08349127757a9_570541;Rtx5_EI_128_069695712234a9_566905;Rtx5_EI_129_082120127593a9_569445;Rtx5_EI_59_0275119889286a9_573077;Rtx5_EI_70_0646665720888a9_571916;Rtx5_EI_72_0520100504172a9_571668;Rtx5_EI_86_0622966870007a9_572647"
"Rtx5_EI_114_08349127757a9_570541","Rtx5_EI","3-40min",1296,114.08349127757,9.570541,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI",NA,0,1,0.666666666666667,0.666666666666667,0.333333333333333,0,1,0.050809751390813,0.0514200448931403,0.0481369149083505,0.358723720210149,"Drift_corrected",NA,1376.86258719995,"Cluster_Rtx5_EI_86_0622966870007a9_572647",9,"Rtx5_EI_101_085248356667a9_566346;Rtx5_EI_111_091434562815a9_57237;Rtx5_EI_114_08349127757a9_570541;Rtx5_EI_128_069695712234a9_566905;Rtx5_EI_129_082120127593a9_569445;Rtx5_EI_59_0275119889286a9_573077;Rtx5_EI_70_0646665720888a9_571916;Rtx5_EI_72_0520100504172a9_571668;Rtx5_EI_86_0622966870007a9_572647"
"Rtx5_EI_72_0520100504172a9_571668","Rtx5_EI","3-40min",1297,72.0520100504172,9.571668,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI",NA,0,1,0.666666666666667,0.888888888888889,0.333333333333333,0,1,0.0482980348625384,0.058207914950128,0.044137574125266,0.453257722380725,"Drift_corrected",NA,1552.1894660207,"Cluster_Rtx5_EI_86_0622966870007a9_572647",9,"Rtx5_EI_101_085248356667a9_566346;Rtx5_EI_111_091434562815a9_57237;Rtx5_EI_114_08349127757a9_570541;Rtx5_EI_128_069695712234a9_566905;Rtx5_EI_129_082120127593a9_569445;Rtx5_EI_59_0275119889286a9_573077;Rtx5_EI_70_0646665720888a9_571916;Rtx5_EI_72_0520100504172a9_571668;Rtx5_EI_86_0622966870007a9_572647"
"Rtx5_EI_70_0646665720888a9_571916","Rtx5_EI","3-40min",1298,70.0646665720888,9.571916,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI",NA,0,0.555555555555556,1,1,0.888888888888889,0.333333333333333,1,0.0522181504924459,0.0438379115007511,0.0554357076662183,0.230952954830873,"Drift_corrected",NA,1206.34458563452,"Cluster_Rtx5_EI_86_0622966870007a9_572647",9,"Rtx5_EI_101_085248356667a9_566346;Rtx5_EI_111_091434562815a9_57237;Rtx5_EI_114_08349127757a9_570541;Rtx5_EI_128_069695712234a9_566905;Rtx5_EI_129_082120127593a9_569445;Rtx5_EI_59_0275119889286a9_573077;Rtx5_EI_70_0646665720888a9_571916;Rtx5_EI_72_0520100504172a9_571668;Rtx5_EI_86_0622966870007a9_572647"
"Rtx5_EI_111_091434562815a9_57237","Rtx5_EI","3-40min",1299,111.091434562815,9.57237,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI",NA,0,1,0.666666666666667,0.777777777777778,0.333333333333333,0,1,0.0622822807525269,0.0484702642821046,0.0613408228161423,0.387916408104972,"Drift_corrected",NA,1294.11740630442,"Cluster_Rtx5_EI_86_0622966870007a9_572647",9,"Rtx5_EI_101_085248356667a9_566346;Rtx5_EI_111_091434562815a9_57237;Rtx5_EI_114_08349127757a9_570541;Rtx5_EI_128_069695712234a9_566905;Rtx5_EI_129_082120127593a9_569445;Rtx5_EI_59_0275119889286a9_573077;Rtx5_EI_70_0646665720888a9_571916;Rtx5_EI_72_0520100504172a9_571668;Rtx5_EI_86_0622966870007a9_572647"
"Rtx5_EI_86_0622966870007a9_572647","Rtx5_EI","3-40min",1300,86.0622966870007,9.572647,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI",NA,0,1,1,1,0.888888888888889,0.333333333333333,1,0.0310284749597161,0.0325468963229443,0.0325493187591478,0.133387033613019,"Drift_corrected",NA,1631.16822922822,"Cluster_Rtx5_EI_86_0622966870007a9_572647",9,"Rtx5_EI_101_085248356667a9_566346;Rtx5_EI_111_091434562815a9_57237;Rtx5_EI_114_08349127757a9_570541;Rtx5_EI_128_069695712234a9_566905;Rtx5_EI_129_082120127593a9_569445;Rtx5_EI_59_0275119889286a9_573077;Rtx5_EI_70_0646665720888a9_571916;Rtx5_EI_72_0520100504172a9_571668;Rtx5_EI_86_0622966870007a9_572647"
